jobname,rw,fio_version,fio_rw,bs,runtime_ms,io_bytes,bw_kib_s,bw_bytes_s,iops,total_ios,slat_mean_ms,slat_max_ms,clat_mean_ms,clat_max_ms,lat_mean_ms,lat_max_ms,clat_p50_ms,clat_p95_ms,clat_p99_ms,clat_p99_9_ms,clat_p99_99_ms,clat_p99_999_ms,source_file,profile_id,delay_ms,jitter_ms,loss_pct,run_dir,iface,usbip_target,kernel,fio_version_profile,mount_line,netem_limit_pkts,qdisc_qdisc_type,qdisc_qdisc_limit_pkts,qdisc_qdisc_sent_bytes,qdisc_qdisc_sent_pkts,qdisc_qdisc_dropped_pkts,qdisc_qdisc_overlimits,qdisc_qdisc_requeues,IpOutDiscards,TcpAttemptFails,TcpEstabResets,TcpInSegs,TcpOutSegs,TcpRetransSegs,TcpInErrs,TcpExtDelayedACKs,TcpExtDelayedACKLost,TcpExtTCPLossUndo,TcpExtTCPLostRetransmit,TcpExtTCPLossProbes,TcpExtTCPLossProbeRecovery,TcpExtTCPOFOQueue
rand_read_4k,read,fio-3.36,randread,4k,15002,47587328,3097,3172065,774.430076,11618,0.019782962472,0.345954,1.269042492426,203.1209,1.288825454898,203.151328,1.204224,1.564672,1.662976,1.777664,2.21184,2.21184,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191003Z_00_baseline/fio/rand_read_4k.json,20260109T191003Z_00_baseline,0.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191003Z_00_baseline,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,672,7,0,0,0,20,7,3,202855,482303,230,6,1785,1379,7,99,71,8,2538
rand_write_4k,write,fio-3.36,randwrite,4k,16741,16384,0,978,0.238934,4,0.0509015,0.067748,4185.144455,4449.849764,4185.1953565,4449.889539,4110.41792,4462.739456,4462.739456,4462.739456,4462.739456,4462.739456,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191003Z_00_baseline/fio/rand_write_4k.json,20260109T191003Z_00_baseline,0.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191003Z_00_baseline,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,672,7,0,0,0,20,7,3,202855,482303,230,6,1785,1379,7,99,71,8,2538
seq_read,read,fio-3.36,read,1m,16304,156237824,9358,9582790,9.138862,149,95.776977872483,5171.165262,13.634553953020001,17.468545,109.411531825503,5185.543144,13.172736,16.908288,17.432576,17.432576,17.432576,17.432576,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191003Z_00_baseline/fio/seq_read.json,20260109T191003Z_00_baseline,0.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191003Z_00_baseline,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,672,7,0,0,0,20,7,3,202855,482303,230,6,1785,1379,7,99,71,8,2538
seq_write,write,fio-3.36,write,1m,16463,93323264,5535,5668666,5.406062,89,156.76497640449398,4519.298982,28.19432511236,1629.726929,184.959301516854,4529.172102,9.895936,10.551296,1635.77856,1635.77856,1635.77856,1635.77856,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191003Z_00_baseline/fio/seq_write.json,20260109T191003Z_00_baseline,0.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191003Z_00_baseline,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,672,7,0,0,0,20,7,3,202855,482303,230,6,1785,1379,7,99,71,8,2538
rand_read_4k,read,fio-3.36,randread,4k,15005,835584,54,55687,13.595468,204,0.032627421569,0.149623,73.51521261764701,253.094734,73.547840039216,253.169085,65.273856,113.770496,196.083712,252.706816,252.706816,252.706816,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191116Z_10_delay_20ms/fio/rand_read_4k.json,20260109T191116Z_10_delay_20ms,20.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191116Z_10_delay_20ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,487,5,0,0,0,20,7,3,205059,493162,230,6,1789,1382,7,99,73,8,2538
rand_write_4k,write,fio-3.36,randwrite,4k,16547,16384,0,990,0.241736,4,0.04097225,0.048261,4136.459462,4428.2825,4136.50043425,4428.312697,4244.635648,4395.630592,4395.630592,4395.630592,4395.630592,4395.630592,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191116Z_10_delay_20ms/fio/rand_write_4k.json,20260109T191116Z_10_delay_20ms,20.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191116Z_10_delay_20ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,487,5,0,0,0,20,7,3,205059,493162,230,6,1789,1382,7,99,73,8,2538
seq_read,read,fio-3.36,read,1m,15446,20971520,1325,1357731,1.294834,20,613.4728120499999,935.144211,158.80527065,309.045211,772.2780827,1139.455019,149.946368,204.47232,308.281344,308.281344,308.281344,308.281344,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191116Z_10_delay_20ms/fio/seq_read.json,20260109T191116Z_10_delay_20ms,20.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191116Z_10_delay_20ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,487,5,0,0,0,20,7,3,205059,493162,230,6,1789,1382,7,99,73,8,2538
seq_write,write,fio-3.36,write,1m,15052,12582912,816,835962,0.797236,12,1100.8803495,5082.381147,153.37931583333298,192.64891,1254.259665333333,5218.689406,149.946368,191.889408,191.889408,191.889408,191.889408,191.889408,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191116Z_10_delay_20ms/fio/seq_write.json,20260109T191116Z_10_delay_20ms,20.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191116Z_10_delay_20ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,487,5,0,0,0,20,7,3,205059,493162,230,6,1789,1382,7,99,73,8,2538
rand_read_4k,read,fio-3.36,randread,4k,15194,217088,13,14287,3.488219,53,0.037153037736,0.070232,286.625495188679,674.028064,286.662648226415,674.077948,258.998272,434.110464,675.282944,675.282944,675.282944,675.282944,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191223Z_20_delay_80ms/fio/rand_read_4k.json,20260109T191223Z_20_delay_80ms,80.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191223Z_20_delay_80ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,162,2,0,0,0,20,7,3,205999,497653,240,6,1797,1385,9,105,80,8,2538
rand_write_4k,write,fio-3.36,randwrite,4k,19009,24576,1,1292,0.31564,6,27.054041,162.110092,3141.016721333333,4614.286737,3168.070762333333,4696.981493,4462.739456,4596.957184,4596.957184,4596.957184,4596.957184,4596.957184,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191223Z_20_delay_80ms/fio/rand_write_4k.json,20260109T191223Z_20_delay_80ms,80.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191223Z_20_delay_80ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,162,2,0,0,0,20,7,3,205999,497653,240,6,1797,1385,9,105,80,8,2538
seq_read,read,fio-3.36,read,1m,15241,4194304,268,275198,0.26245,4,3262.35165575,5357.256617,547.777667,746.356992,3810.12932275,6103.613609,450.88768,742.391808,742.391808,742.391808,742.391808,742.391808,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191223Z_20_delay_80ms/fio/seq_read.json,20260109T191223Z_20_delay_80ms,80.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191223Z_20_delay_80ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,162,2,0,0,0,20,7,3,205999,497653,240,6,1797,1385,9,105,80,8,2538
seq_write,write,fio-3.36,write,1m,19655,5242880,260,266745,0.254388,5,3404.6304471999997,7886.472313,526.3312634,579.531721,3930.9617106,8466.004034,513.80224,583.008256,583.008256,583.008256,583.008256,583.008256,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191223Z_20_delay_80ms/fio/seq_write.json,20260109T191223Z_20_delay_80ms,80.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191223Z_20_delay_80ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,162,2,0,0,0,20,7,3,205999,497653,240,6,1797,1385,9,105,80,8,2538
rand_read_4k,read,fio-3.36,randread,4k,15488,81920,5,5289,1.291322,20,0.0439938,0.076214,774.29416095,1262.247724,774.33815475,1262.298479,616.562688,1132.46208,1266.679808,1266.679808,1266.679808,1266.679808,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191355Z_30_delay_200ms/fio/rand_read_4k.json,20260109T191355Z_30_delay_200ms,200.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191355Z_30_delay_200ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,228,3,0,0,0,20,7,3,206655,499703,247,6,1809,1394,13,108,84,9,2538
rand_write_4k,write,fio-3.36,randwrite,4k,16380,16384,0,1000,0.2442,4,102.3975465,409.439942,3992.569538,5212.96153,4094.9670845,5213.041351,4529.84832,5200.93696,5200.93696,5200.93696,5200.93696,5200.93696,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191355Z_30_delay_200ms/fio/rand_write_4k.json,20260109T191355Z_30_delay_200ms,200.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191355Z_30_delay_200ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,228,3,0,0,0,20,7,3,206655,499703,247,6,1809,1394,13,108,84,9,2538
seq_read,read,fio-3.36,read,1m,16743,1048576,61,62627,0.059726,1,13960.564059,13960.564059,2781.521239,2781.521239,16742.085298,16742.085298,2768.24064,2768.24064,2768.24064,2768.24064,2768.24064,2768.24064,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191355Z_30_delay_200ms/fio/seq_read.json,20260109T191355Z_30_delay_200ms,200.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191355Z_30_delay_200ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,228,3,0,0,0,20,7,3,206655,499703,247,6,1809,1394,13,108,84,9,2538
seq_write,write,fio-3.36,write,1m,18697,2097152,109,112165,0.106969,2,8086.978817,9841.461473,1261.2997195,1506.387186,9348.2785365,11347.848659,1019.215872,1501.560832,1501.560832,1501.560832,1501.560832,1501.560832,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191355Z_30_delay_200ms/fio/seq_write.json,20260109T191355Z_30_delay_200ms,200.0,0.0,0.0,/home/danilar/code/ed/usb-quic/docs/experiments/E002-bad-network/results/20260109T191355Z_30_delay_200ms,enp0s3,192.168.1.149:3240,Linux client 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2 x86_64 x86_64 x86_64 GNU/Linux,fio-3.36,"/dev/sdc1 on /mnt/usb type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)",1000,netem,1000,228,3,0,0,0,20,7,3,206655,499703,247,6,1809,1394,13,108,84,9,2538
